	Points on a Circle of Radius 1.0
    x1      y1           x1      y2
 -------------------------------------
   1.00    0.00         1.00    0.00
   0.90    0.44         0.90   -0.44
   0.80    0.60         0.80   -0.60
   0.70    0.71         0.70   -0.71
   0.60    0.80         0.60   -0.80
   0.50    0.87         0.50   -0.87
   0.40    0.92         0.40   -0.92
   0.30    0.95         0.30   -0.95
   0.20    0.98         0.20   -0.98
   0.10    0.99         0.10   -0.99
   0.00    1.00         0.00   -1.00
  -0.10    0.99        -0.10   -0.99
  -0.20    0.98        -0.20   -0.98
  -0.30    0.95        -0.30   -0.95
  -0.40    0.92        -0.40   -0.92
  -0.50    0.87        -0.50   -0.87
  -0.60    0.80        -0.60   -0.80
  -0.70    0.71        -0.70   -0.71
  -0.80    0.60        -0.80   -0.60
  -0.90    0.44        -0.90   -0.44
  -1.00    0.00        -1.00   -0.00
